kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
KHS1	STE	5	169	1	35	529	11901	0.665596581693717	-0.5872800706424111	0.8737547781139545	0.9999999999943993	0.058610436307377486	2.4323713852674953e-12	0.6427761274642182	-0.6376117461925555	0.7964826020268057	1.0000000000627258	0.09882370627374369	2.7241479467302745e-11	upregulated set	0.665596581693717	-0.5872800706424111	0.8737547781139545	0.9999999999943993	0.058610436307377486	2.4323713852674953e-12
CDK10	CMGC	13	169	3	35	477	11901	1.9192065795839384	0.9405100087198334	0.020243580951779968	0.20446016761297767	1.6937126612967228	0.6893912875140803	2.138544474393531	1.0966292106371152	0.1650686808834834	1.0000000000627258	0.7823353192856798	2.7241479467302745e-11	downregulated set	0.46760776405344084	-1.0966292106371152	0.1650686808834834	1.0000000000627258	0.7823353192856798	2.7241479467302745e-11
ATM	PIKK	4	169	1	35	548	11901	0.5140154623590896	-0.9601163363762741	0.9538969396163948	0.9999999999943993	0.020498544555553277	2.4323713852674953e-12	0.6204900938477581	-0.6885199170390564	0.8080350092801256	1.0000000000627258	0.09256982238408426	2.7241479467302745e-11	downregulated set	1.6116292748508527	0.6885199170390564	0.8080350092801256	1.0000000000627258	0.09256982238408426	2.7241479467302745e-11
CDK12	CMGC	16	169	0	35	610	11901	1.847085071296925	0.8852503141340038	0.014539562147321699	0.16316619743105462	1.837448671872118	0.7873698075288003	0.278711943793911	-1.8431532665287784	1.0000000000026454	1.0000000000627258	1.1488997436500666e-12	2.7241479467302745e-11	upregulated set	1.847085071296925	0.8852503141340038	0.014539562147321699	0.16316619743105462	1.837448671872118	0.7873698075288003
CDK13	CMGC	18	169	0	35	644	11901	1.9682641772942777	0.976923869911948	0.005268629392318541	0.07839278981282828	2.278302349639733	1.1057238797709272	0.26399733806566106	-1.9214047121931468	1.000000000021148	1.0000000000627258	9.184447656849701e-12	2.7241479467302745e-11	upregulated set	1.9682641772942777	0.976923869911948	0.005268629392318541	0.07839278981282828	2.278302349639733	1.1057238797709272
CDK14	CMGC	18	169	4	35	707	11901	1.792874300109639	0.842274343217166	0.012867961336714018	0.14996124173170566	1.8904902526563734	0.8240209721248863	1.9237825823398667	0.9439457611120715	0.15281424702827429	1.0000000000627258	0.8158361541547988	2.7241479467302745e-11	downregulated set	0.5198092597260734	-0.9439457611120715	0.15281424702827429	1.0000000000627258	0.8158361541547988	2.7241479467302745e-11
MINK	STE	9	169	0	35	649	11901	0.976550177332446	-0.03423391997257359	0.5775373705429722	0.9999999999943993	0.23841990875963096	2.4323713852674953e-12	0.261963460268545	-1.9325625020776684	1.0000000000324203	1.0000000000627258	1.4079952473422997e-11	2.7241479467302745e-11	upregulated set	0.976550177332446	-0.03423391997257359	0.5775373705429722	0.9999999999943993	0.23841990875963096	2.4323713852674953e-12
HRI	Other	5	169	1	35	650	11901	0.5416932180245789	-0.8844520664442022	0.9558862207422961	0.9999999999943993	0.01959379877465188	2.4323713852674953e-12	0.5231208791208791	-0.9347837419943467	0.8599622900506063	1.0000000000627258	0.06552059245643883	2.7241479467302745e-11	upregulated set	0.5416932180245789	-0.8844520664442022	0.9558862207422961	0.9999999999943993	0.01959379877465188	2.4323713852674953e-12
ATR	PIKK	8	169	3	35	662	11901	0.8509984089812116	-0.23277166022296536	0.7278820706400655	0.9999999999943993	0.13793897813063055	2.4323713852674953e-12	1.5409149762624081	0.6237872598354086	0.30927551041637563	1.0000000000627258	0.509654467685498	2.7241479467302745e-11	downregulated set	0.6489650729630564	-0.6237872598354086	0.30927551041637563	1.0000000000627258	0.509654467685498	2.7241479467302745e-11
CDK16	CMGC	22	169	4	35	729	11901	2.1251613217425183	1.0875723608946126	0.000789301092819755	0.026573136791598416	3.1027572958956853	1.575557176832705	1.8657260435038212	0.8997371615945332	0.1651711813264399	1.0000000000627258	0.782065725070734	2.7241479467302745e-11	upregulated set	2.1251613217425183	1.0875723608946126	0.000789301092819755	0.026573136791598416	3.1027572958956853	1.575557176832705
